date,state,state_ibge_code,place,deaths_sars,deaths_pneumonia,deaths_respiratory_failure,deaths_septicemia,deaths_indeterminate,deaths_others,deaths_covid19,created_at
2018-01-01,AC,12,home,,,,,,3,,2020-06-09 15:50
2018-01-01,AC,12,hospital,,2,,,,5,,2020-06-09 15:50
2018-01-01,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-01-02,AC,12,home,,,,,,2,,2020-06-09 15:50
2018-01-02,AC,12,hospital,,3,,,,5,,2020-06-09 15:50
2018-01-02,AC,12,others,,1,,1,,1,,2020-06-09 15:50
2018-01-03,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-01-03,AC,12,hospital,,5,,1,,3,,2020-06-09 15:50
2018-01-03,AC,12,public,,,1,,,,,2020-06-09 15:50
2018-01-04,AC,12,hospital,,,2,2,,6,,2020-06-09 15:50
2018-01-05,AC,12,home,,,1,,,1,,2020-06-09 15:50
2018-01-05,AC,12,hospital,,1,,2,,6,,2020-06-09 15:50
2018-01-05,AC,12,others,,,,,,3,,2020-06-09 15:50
2018-01-06,AC,12,home,,,,,,2,,2020-06-09 15:50
2018-01-06,AC,12,hospital,,2,2,4,,3,,2020-06-09 15:50
2018-01-07,AC,12,hospital,,,,2,,3,,2020-06-09 15:50
2018-01-07,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-01-08,AC,12,home,,,,,,2,,2020-06-09 15:50
2018-01-08,AC,12,hospital,,,,1,,3,,2020-06-09 15:50
2018-01-08,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-01-09,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-01-09,AC,12,hospital,,2,,2,,5,,2020-06-09 15:50
2018-01-09,AC,12,others,,,,,,2,,2020-06-09 15:50
2018-01-10,AC,12,home,,,,,,2,,2020-06-09 15:50
2018-01-10,AC,12,hospital,,,,,,1,,2020-06-09 15:50
2018-01-11,AC,12,hospital,1,4,1,3,,2,,2020-06-09 15:50
2018-01-12,AC,12,home,,,,,,2,,2020-06-09 15:50
2018-01-12,AC,12,hospital,,,2,2,,1,,2020-06-09 15:50
2018-01-12,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-01-13,AC,12,hospital,,1,,1,,3,,2020-06-09 15:50
2018-01-13,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-01-14,AC,12,home,,2,,,,,,2020-06-09 15:50
2018-01-14,AC,12,hospital,,2,1,,,6,,2020-06-09 15:50
2018-01-15,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-01-15,AC,12,hospital,,4,,1,,5,,2020-06-09 15:50
2018-01-15,AC,12,public,,,,,,2,,2020-06-09 15:50
2018-01-16,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-01-16,AC,12,hospital,1,,1,1,,6,,2020-06-09 15:50
2018-01-16,AC,12,others,,,,,,2,,2020-06-09 15:50
2018-01-17,AC,12,hospital,,2,,3,,3,,2020-06-09 15:50
2018-01-18,AC,12,home,,,,,,2,,2020-06-09 15:50
2018-01-18,AC,12,hospital,,1,1,,,6,,2020-06-09 15:50
2018-01-18,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-01-19,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-01-20,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-01-20,AC,12,hospital,,2,,,,2,,2020-06-09 15:50
2018-01-20,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-01-21,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-01-21,AC,12,hospital,,1,1,1,,5,,2020-06-09 15:50
2018-01-21,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-01-22,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-01-22,AC,12,hospital,,1,1,,,1,,2020-06-09 15:50
2018-01-22,AC,12,others,,,1,,,,,2020-06-09 15:50
2018-01-23,AC,12,hospital,,4,,,,3,,2020-06-09 15:50
2018-01-24,AC,12,home,,,1,,,3,,2020-06-09 15:50
2018-01-24,AC,12,hospital,,2,,2,,2,,2020-06-09 15:50
2018-01-25,AC,12,home,,,,,1,1,,2020-06-09 15:50
2018-01-25,AC,12,hospital,,2,,,,2,,2020-06-09 15:50
2018-01-25,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-01-26,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-01-26,AC,12,hospital,,1,2,,,7,,2020-06-09 15:50
2018-01-27,AC,12,home,,,,,,3,,2020-06-09 15:50
2018-01-27,AC,12,hospital,,2,3,4,,1,,2020-06-09 15:50
2018-01-27,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-01-27,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-01-28,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-01-28,AC,12,hospital,,4,1,1,,5,,2020-06-09 15:50
2018-01-28,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-01-29,AC,12,home,,,,,,2,,2020-06-09 15:50
2018-01-29,AC,12,hospital,,,,1,,2,,2020-06-09 15:50
2018-01-30,AC,12,hospital,,2,1,3,,3,,2020-06-09 15:50
2018-01-31,AC,12,home,,,,,,3,,2020-06-09 15:50
2018-01-31,AC,12,hospital,,2,,,,4,,2020-06-09 15:50
2018-01-31,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-02-01,AC,12,hospital,,1,,2,,3,,2020-06-09 15:50
2018-02-02,AC,12,home,,,,,,2,,2020-06-09 15:50
2018-02-02,AC,12,hospital,,1,1,,1,3,,2020-06-09 15:50
2018-02-02,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-02-02,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-02-03,AC,12,hospital,,1,,1,,6,,2020-06-09 15:50
2018-02-03,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-02-04,AC,12,home,,,,,,3,,2020-06-09 15:50
2018-02-04,AC,12,hospital,,1,,1,,3,,2020-06-09 15:50
2018-02-04,AC,12,others,,1,,,,1,,2020-06-09 15:50
2018-02-05,AC,12,hospital,,,1,3,,3,,2020-06-09 15:50
2018-02-06,AC,12,home,,,,,,5,,2020-06-09 15:50
2018-02-06,AC,12,hospital,,2,2,,,3,,2020-06-09 15:50
2018-02-07,AC,12,home,,,2,,,1,,2020-06-09 15:50
2018-02-07,AC,12,hospital,,2,1,,,7,,2020-06-09 15:50
2018-02-07,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-02-08,AC,12,home,,,,,,4,,2020-06-09 15:50
2018-02-08,AC,12,hospital,,4,,,,,,2020-06-09 15:50
2018-02-08,AC,12,others,,,,,1,1,,2020-06-09 15:50
2018-02-09,AC,12,hospital,,,,1,,6,,2020-06-09 15:50
2018-02-10,AC,12,home,,,,,,2,,2020-06-09 15:50
2018-02-10,AC,12,hospital,,,1,,,6,,2020-06-09 15:50
2018-02-10,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-02-11,AC,12,home,,,,,,2,,2020-06-09 15:50
2018-02-11,AC,12,hospital,,1,,,,1,,2020-06-09 15:50
2018-02-12,AC,12,home,,,1,1,,1,,2020-06-09 15:50
2018-02-12,AC,12,hospital,,3,,,,2,,2020-06-09 15:50
2018-02-12,AC,12,others,,,1,,,,,2020-06-09 15:50
2018-02-13,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-02-13,AC,12,hospital,,2,,1,1,7,,2020-06-09 15:50
2018-02-13,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-02-14,AC,12,home,,,,,,2,,2020-06-09 15:50
2018-02-14,AC,12,hospital,,1,,1,,4,,2020-06-09 15:50
2018-02-15,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-02-15,AC,12,hospital,,,,,,1,,2020-06-09 15:50
2018-02-15,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-02-15,AC,12,public,,,,,,1,,2020-06-09 15:50
